subject_id,pc1,pc2,label
control1,0.34066344511299046,3.2464105605511673,control_A
control10,-2.9458491458818563,-1.1622406647625527,control_B
control11,-1.4472939919009276,2.0354999262582165,control_A
control12,1.4813994645070714,-0.6579206723676606,control_B
control13,0.5739155323161308,-0.990531131198856,control_B
control14,1.2029092815215343,0.11874813107917515,control_B
control15,8.160521338573822,-0.8295258252140062,control_B
control16,0.8374395455138977,2.212575234740138,control_A
control2,0.9746975337851637,-3.4083549748966577,control_A
control3,-0.11490887988030415,2.4347379479487015,control_A
control4,-2.64745017741153,-2.53155441748828,control_A
control5,-0.5363580444639356,-1.2164042090250509,control_B
control6,-0.9660404629775453,2.9081271249266885,control_A
control7,-1.6004832273591605,-1.9900158600182931,control_A
control8,-0.9204277128925104,0.13514886991546743,control_B
control9,-2.39273449856284,-0.3047000404481991,control_B
